tmdbId,tmdb_status,tmdb_title,original_title,director,tmdb_genres,release_date,runtime,original_language,tmdb_rating,tmdb_vote_count,popularity,overview
19959,ok,Surrogates,Surrogates,Jonathan Mostow,Science Fiction | Action | Thriller,2009-09-24,89.0,en,6.156,3502.0,6.689,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates."
20662,ok,Robin Hood,Robin Hood,Ridley Scott,Action | Adventure | History | Drama,2010-05-12,140.0,en,6.398,5091.0,11.8439,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
84332,ok,Safety Not Guaranteed,Safety Not Guaranteed,Colin Trevorrow,Comedy | Romance | Science Fiction,2012-06-08,86.0,en,6.78,1650.0,3.3053,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.
49049,ok,Dredd,Dredd,Pete Travis,Action | Science Fiction,2012-09-07,96.0,en,6.859,5641.0,10.2776,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series."
86838,ok,Seven Psychopaths,Seven Psychopaths,Martin McDonagh,Comedy | Crime,2012-10-12,110.0,en,6.815,4348.0,6.7303,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
242224,ok,The Babadook,The Babadook,Jennifer Kent,Drama | Horror,2014-05-22,94.0,en,6.538,6508.0,10.4709,A grieving single mother and her child fall into a deep well of paranoia when an eerie children's book manifests in their home.
246741,ok,What We Do in the Shadows,What We Do in the Shadows,Jemaine Clement | Taika Waititi,Comedy | Horror,2014-06-19,86.0,en,7.543,4011.0,5.3744,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.
270303,ok,It Follows,It Follows,David Robert Mitchell,Horror | Mystery,2015-02-04,101.0,en,6.579,7059.0,19.6257,A young woman is followed by an unknown supernatural force after a sexual encounter.
294963,ok,Bone Tomahawk,Bone Tomahawk,S. Craig Zahler,Drama | Horror | Western,2015-10-23,133.0,en,6.883,2586.0,8.5577,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. The doctor's assistant, wife of the local foreman, tends to him in prison. That night, the town is attacked and they both disappear—only the arrow of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and the foreman's wife."
18487,ok,The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,Tony Scott,Crime | Thriller | Action,2009-06-10,106.0,en,6.362,3459.0,6.166,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime."
44048,ok,Unstoppable,Unstoppable,Tony Scott,Action | Thriller,2010-11-04,98.0,en,6.624,3969.0,7.2526,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train is laden with toxic chemicals, and an accident would decimate human life and cause an environmental disaster. The only hope of bringing the train to a safe stop is in the hands of veteran engineer Frank Barnes, and young conductor Will Colson, who must risk their lives to save those in the runaway's path. Inspired by true events."
156022,ok,The Equalizer,The Equalizer,Antoine Fuqua,Thriller | Action | Crime,2014-09-24,132.0,en,7.293,10100.0,27.3902,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer."
273197,ok,The Great Hypnotist,催眠大师,Leste Chen,Thriller | Drama | Mystery,2014-04-29,104.0,zh,6.703,101.0,1.9757,"The famous psychologist Xu Ruining has a raising career, when he met the troublesome patient Ren Xiaoyan. The meeting is not easy as feeble-looking Ren is point by point against him."
21450,ok,Naked,Naked,Mike Leigh,Drama | Comedy,1993-08-06,131.0,en,7.3,683.0,4.68,An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
267,ok,Live Flesh,Carne trémula,Pedro Almodóvar,Drama | Romance | Thriller,1997-10-10,103.0,es,7.019,755.0,5.0482,"When Victor attempts to seduce Elena, all he gets for his trouble is a one-way, six-year ticket to prison, where he concentrates on strengthening his mind, his body... and his desire for vengeance on the man who put him there. After his release and still madly in love with her, Victor will stop at nothing to win her over even if means revenge, for Elena has married David, the cop who sent him to prison!"
11296,ok,Birdy,Birdy,Alan Parker,Drama | War,1984-12-14,120.0,en,7.118,591.0,3.5079,"Two young men are seriously affected by the Vietnam War. One of them has always been obsessed with birds - but now believes he really is a bird, and has been sent to a mental hospital. Can his friend help him pull through?"
10937,ok,Barfly,Barfly,Barbet Schroeder,Comedy | Drama | Romance,1987-09-02,100.0,en,6.866,392.0,4.2075,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids."
22230,ok,Happy Accidents,Happy Accidents,Brad Anderson,Comedy | Romance | Science Fiction,2000-01-25,110.0,en,6.823,145.0,2.0355,"A comedy that pays tribute to the science fiction genre -- specifically, the sub-genre of time travel. But here the alternate reality is contemporary New York City where past and future experiences of trust, commitment and denial are cleverly put to the test. Just as Ruby is beginning to relish her first-ever healthy relationship, Sam begins muttering about being a time traveler from the year 2470."
45929,ok,Titanica,Titanica,Stephen Low,Documentary,1992-10-12,95.0,en,6.1,10.0,1.6227,"Titanica is a fascinating non-fiction drama which tells the story of the 1991 expedition to the wreck of the Titanic, the ""unsinkable"" luxury liner which collided with an iceberg and sank on April 15, 1912, losing 1,522 lives. Viewers experience the adventure, drama and danger of deep sea exploration through the activities of an international expedition team composed of unique and colourful characters, each with their own personal interest in the legendary wreck. Combining spectacular life-size images of the shattered remains on the ocean floor with recollections by survivor Eva Hart and computer-enhanced archival photographs, Titanica brings to life a remarkable tale of history, science and human ambition. IMAX"
4031,ok,Going Places,Les Valseuses,Bertrand Blier,Comedy | Drama,1974-03-20,117.0,fr,6.667,501.0,6.5992,"Two whimsical, aimless thugs harass and assault women, steal, murder, and alternately charm, fight, or sprint their way out of trouble. They take whatever the bourgeoisie holds dear, whether it’s cars, peace of mind, or daughters. Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor. She’s on her own search for seemingly unattainable sexual pleasure."
20312,ok,Interstate 60,Interstate 60,Bob Gale,Adventure | Fantasy | Drama,2002-04-13,116.0,en,7.379,802.0,6.6228,An aspiring painter meets various characters and learns valuable lessons while traveling across America.
1643,ok,Last Tango in Paris,Ultimo tango a Parigi,Bernardo Bertolucci,Drama | Romance,1972-12-15,129.0,it,6.895,1361.0,6.5755,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.
1278,ok,The Dreamers,The Dreamers,Bernardo Bertolucci,Drama | Romance,2003-10-10,115.0,en,7.18,3135.0,15.7021,"When Isabelle and Theo invite Matthew to stay with them, what begins as a casual friendship ripens into a sensual voyage of discovery and desire in which nothing is off limits and everything is possible."
11044,ok,Arizona Dream,Arizona Dream,Emir Kusturica,Fantasy | Comedy | Drama | Romance,1993-01-06,142.0,en,7.1,782.0,4.9621,"Rebellious young Axel Blackmar gets caught up into the family car business when his cousin, Paul, coaxes him to come to Arizona to attend the wedding of their Uncle Leo. As Axel makes the decision to try selling Cadillacs with his family, he meets an eccentric woman named Elaine and her equally quirky stepdaughter, Grace. Their lives become inextricably intertwined through romance, dreams – and death."
11909,ok,Bullet in the Head,喋血街頭,John Woo,Action | Crime | Thriller | War,1990-08-17,136.0,cn,7.6,326.0,4.723,"Three childhood friends from the slums of Hong Kong flee to war-time Saigon after accidentally murdering a gang leader, but their troubles only escalate."
9812,ok,Thursday,Thursday,Skip Woods,Thriller | Action | Comedy | Crime | Drama | Mystery,1998-09-25,87.0,en,6.904,374.0,4.8344,"A former Los Angeles drug dealer moves far away to Texas, making a new life for himself as a married architect in the suburbs. His old crime partner unexpectedly shows up with heroin and gangster business, attracting a slew of violent unsavory characters."
437,ok,Cube 2: Hypercube,Cube 2: Hypercube,Andrzej Sekula,Thriller | Science Fiction | Mystery,2002-04-15,94.0,en,5.498,1657.0,7.3263,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply."
53116,ok,Between Your Legs,Entre las piernas,Manuel Gómez Pereira,Drama | Romance | Thriller,1999-01-14,115.0,es,5.365,63.0,2.323,A radio-show assistant meets a budding screenwriter during a group-therapy session for sex addicts.
10851,ok,Revolver,Revolver,Guy Ritchie,Drama | Thriller | Crime | Mystery,2005-09-11,111.0,en,6.352,1584.0,5.1521,"Hotshot gambler Jake Green is long on bravado and seriously short of common sense. Rarely is he allowed in any casino because he's a bona fide winner and, in fact, has taken so much money over the years that he's the sole client of his accountant elder brother, Billy. Invited to a private game, Jake is in fear of losing his life."
12096,ok,The Pink Panther,The Pink Panther,Shawn Levy,Comedy | Mystery | Crime | Adventure | Family,2006-02-10,93.0,en,5.9,2181.0,9.4788,"When the coach of the France football team is killed by a poisoned dart in the stadium at the end of a game, and his huge, expensive ring with the Pink Panther diamond  disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector – Jacques Clouseau – to the case."
9786,ok,Art School Confidential,Art School Confidential,Terry Zwigoff,Comedy | Drama,2006-05-05,102.0,en,6.113,238.0,4.1766,"Starting from childhood attempts at illustration, the protagonist pursues his true obsession to art school. But as he learns how the art world really works, he finds that he must adapt his vision to the reality that confronts him."
5206,ok,The Boss of It All,Direktøren for det hele,Lars von Trier,Comedy,2006-12-08,99.0,da,6.588,328.0,2.5176,"The owner of an Information Technology firm wants to sell his business for profit. The trouble is that when he started his firm he invented a nonexistent company president to hide behind when unpopular steps needed to be taken. When potential purchasers insist on negotiating with the ""Boss"" face to face the owner has to hire a failed actor to play the part."
4520,ok,Sleuth,Sleuth,Kenneth Branagh,Drama | Mystery | Thriller,2007-10-12,89.0,en,6.271,593.0,3.6618,"Locked in a high-tech English manor, bound in a deadly duel of wits, Andrew Wyke and Milo Tindle come together as English gentlemen to discuss the matter of Wyke's wife: the woman both are sleeping with."
8461,ok,Funny Games,Funny Games,Michael Haneke,Thriller | Horror,2008-03-14,111.0,en,6.547,2312.0,6.3505,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive."
14943,ok,Crows Zero,クローズZERO,Takashi Miike,Action | Comedy | Crime,2007-10-26,130.0,ja,7.081,394.0,5.096,"The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself do it as he reminds him of his youth."
4148,ok,Revolutionary Road,Revolutionary Road,Sam Mendes,Drama | Romance,2008-12-19,119.0,en,6.987,4169.0,7.8615,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.
14139,ok,Timecrimes,Los cronocrímenes,Nacho Vigalondo,Science Fiction | Thriller,2007-11-01,92.0,es,7.019,1500.0,6.639,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.
16991,ok,Observe and Report,Observe and Report,Jody Hill,Comedy | Crime | Drama,2009-04-10,86.0,en,5.409,759.0,3.4117,"Mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is recruited to close the case."
8284,ok,The Limits of Control,The Limits of Control,Jim Jarmusch,Crime | Drama | Mystery | Thriller,2009-05-01,116.0,en,6.027,319.0,2.7181,"A mysterious stranger works outside the law and keeps his objectives hidden, trusting no one. While his demeanor is paradoxically focused and dreamlike all at once, he embarks on a journey that not only takes him across Spain, but also through his own consciousness."
22536,ok,Thirst,박쥐,Park Chan-wook,Drama | Horror | Thriller,2009-04-30,134.0,ko,7.1,1111.0,4.8008,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend."
20178,ok,World's Greatest Dad,World's Greatest Dad,Bobcat Goldthwait,Comedy | Drama,2009-08-20,99.0,en,6.597,662.0,3.9765,"In the wake of a freak accident, Lance suffers the worst tragedy and the greatest opportunity of his life. He is suddenly faced with the possibility of fame, fortune and popularity, if he can only live with the knowledge of how he got there."
23082,ok,The Invention of Lying,The Invention of Lying,Ricky Gervais | Matthew Robinson,Comedy | Fantasy | Romance,2009-10-02,100.0,en,6.212,2372.0,6.2465,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead."
